"Año";"Trimestre";"Mes";"Juego";"Cantidades jugadas";"GGR"
2013;"2013.T3";"Agosto";"Ruleta Convencional";66820228;1859758
2013;"2013.T3";"Agosto";"Ruleta en Vivo";465537;4397
2013;"2013.T3";"Septiembre";"Ap. Cruzadas";0;0
2013;"2013.T3";"Septiembre";"Ap. Dep. de Contrap. Convencionales";183000088;7809682
2013;"2013.T3";"Septiembre";"Ap. Dep. de Contrap. en Directo";0;0
2013;"2013.T3";"Septiembre";"Ap. Deportivas Mutuas";35733;14903
2013;"2013.T3";"Septiembre";"Ap. Hípicas de Contrapartida";1738763;60191
2013;"2013.T3";"Septiembre";"Apuestas Hípicas Mutuas";0;0
2013;"2013.T3";"Septiembre";"Bingo";5187722;642444
2013;"2013.T3";"Septiembre";"Black Jack";26787614;791581
2013;"2013.T3";"Septiembre";"Concursos";561300;424681
2013;"2013.T3";"Septiembre";"Juegos Complementarios";10513;1069
2013;"2013.T3";"Septiembre";"Máquinas de Azar";0;0
2013;"2013.T3";"Septiembre";"Otras Ap. de Contrapartida";2;-1
2013;"2013.T3";"Septiembre";"Punto y Banca";113874;2404
2013;"2013.T3";"Septiembre";"Póquer Cash";140924981;3594207
2013;"2013.T3";"Septiembre";"Póquer Torneo";40621820;1782466
2013;"2013.T3";"Septiembre";"Ruleta Convencional";68697977;1843720
2013;"2013.T3";"Septiembre";"Ruleta en Vivo";456975;9036
2013;"2013.T4";"Octubre";"Ap. Cruzadas";0;0
2013;"2013.T4";"Octubre";"Ap. Dep. de Contrap. Convencionales";196785593;9452693
2013;"2013.T4";"Octubre";"Ap. Dep. de Contrap. en Directo";0;0
2013;"2013.T4";"Octubre";"Ap. Deportivas Mutuas";54780;32373
2013;"2013.T4";"Octubre";"Ap. Hípicas de Contrapartida";2250930;177953
2013;"2013.T4";"Octubre";"Apuestas Hípicas Mutuas";0;0
2013;"2013.T4";"Octubre";"Bingo";6310061;705111
2013;"2013.T4";"Octubre";"Black Jack";31061984;925510
2013;"2013.T4";"Octubre";"Concursos";658556;294434
2013;"2013.T4";"Octubre";"Juegos Complementarios";17141;1965
2013;"2013.T4";"Octubre";"Máquinas de Azar";0;0
2013;"2013.T4";"Octubre";"Otras Ap. de Contrapartida";15;2
2013;"2013.T4";"Octubre";"Punto y Banca";146482;4792
2013;"2013.T4";"Octubre";"Póquer Cash";146035913;3816941
2013;"2013.T4";"Octubre";"Póquer Torneo";40847086;1875847
2013;"2013.T4";"Octubre";"Ruleta Convencional";76455457;2103743
2013;"2013.T4";"Octubre";"Ruleta en Vivo";937918;11118
2013;"2013.T4";"Noviembre";"Ap. Cruzadas";0;0
2013;"2013.T4";"Noviembre";"Ap. Dep. de Contrap. Convencionales";177819239;10224330
2013;"2013.T4";"Noviembre";"Ap. Dep. de Contrap. en Directo";0;0
2013;"2013.T4";"Noviembre";"Ap. Deportivas Mutuas";52868;25206
2013;"2013.T4";"Noviembre";"Ap. Hípicas de Contrapartida";1800667;161415
2013;"2013.T4";"Noviembre";"Apuestas Hípicas Mutuas";0;0
2013;"2013.T4";"Noviembre";"Bingo";5498814;677530
2013;"2013.T4";"Noviembre";"Black Jack";24396220;716748
2013;"2013.T4";"Noviembre";"Concursos";621262;499627
2013;"2013.T4";"Noviembre";"Juegos Complementarios";17687;1645
2013;"2013.T4";"Noviembre";"Máquinas de Azar";0;0
2013;"2013.T4";"Noviembre";"Otras Ap. de Contrapartida";0;0
2013;"2013.T4";"Noviembre";"Punto y Banca";119759;3185
2013;"2013.T4";"Noviembre";"Póquer Cash";142433300;3686412
2013;"2013.T4";"Noviembre";"Póquer Torneo";42548045;1959252
2013;"2013.T4";"Noviembre";"Ruleta Convencional";75342043;1835582
2013;"2013.T4";"Noviembre";"Ruleta en Vivo";995881;34684
2013;"2013.T4";"Diciembre";"Ap. Cruzadas";0;0
2013;"2013.T4";"Diciembre";"Ap. Dep. de Contrap. Convencionales";179906795;9368414
2013;"2013.T4";"Diciembre";"Ap. Dep. de Contrap. en Directo";0;0
2013;"2013.T4";"Diciembre";"Ap. Deportivas Mutuas";43087;14184
2013;"2013.T4";"Diciembre";"Ap. Hípicas de Contrapartida";1818361;72568
2013;"2013.T4";"Diciembre";"Apuestas Hípicas Mutuas";0;0
2013;"2013.T4";"Diciembre";"Bingo";5992391;740892
2013;"2013.T4";"Diciembre";"Black Jack";25885380;777688
2013;"2013.T4";"Diciembre";"Concursos";1748547;1287709
2013;"2013.T4";"Diciembre";"Juegos Complementarios";19102;1050
2013;"2013.T4";"Diciembre";"Máquinas de Azar";0;0
2013;"2013.T4";"Diciembre";"Otras Ap. de Contrapartida";134;-134
2013;"2013.T4";"Diciembre";"Punto y Banca";113965;2456
2013;"2013.T4";"Diciembre";"Póquer Cash";152491825;3834081
2013;"2013.T4";"Diciembre";"Póquer Torneo";47188948;2031885
2013;"2013.T4";"Diciembre";"Ruleta Convencional";83270320;2036935
2013;"2013.T4";"Diciembre";"Ruleta en Vivo";653782;28682
2014;"2014.T1";"Enero";"Ap. Cruzadas";0;0
2014;"2014.T1";"Enero";"Ap. Dep. de Contrap. Convencionales";211500799;12279502
2014;"2014.T1";"Enero";"Ap. Dep. de Contrap. en Directo";0;0
2014;"2014.T1";"Enero";"Ap. Deportivas Mutuas";37320;17979
2014;"2014.T1";"Enero";"Ap. Hípicas de Contrapartida";1948905;114000
2014;"2014.T1";"Enero";"Apuestas Hípicas Mutuas";0;0
2014;"2014.T1";"Enero";"Bingo";5924912;755319
2014;"2014.T1";"Enero";"Black Jack";29032039;768920
2014;"2014.T1";"Enero";"Concursos";877267;736304
2014;"2014.T1";"Enero";"Juegos Complementarios";12127;474
2014;"2014.T1";"Enero";"Máquinas de Azar";0;0
2014;"2014.T1";"Enero";"Otras Ap. de Contrapartida";621;370
2014;"2014.T1";"Enero";"Punto y Banca";112665;4783
2014;"2014.T1";"Enero";"Póquer Cash";159040770;4101748
2014;"2014.T1";"Enero";"Póquer Torneo";47792102;2253917
2014;"2014.T1";"Enero";"Ruleta Convencional";85284512;2240154
2014;"2014.T1";"Enero";"Ruleta en Vivo";1189674;3784
2014;"2014.T1";"Febrero";"Ap. Cruzadas";0;0
2014;"2014.T1";"Febrero";"Ap. Dep. de Contrap. Convencionales";197214054;10423344
2014;"2014.T1";"Febrero";"Ap. Dep. de Contrap. en Directo";0;0
2014;"2014.T1";"Febrero";"Ap. Deportivas Mutuas";39289;19640
2014;"2014.T1";"Febrero";"Ap. Hípicas de Contrapartida";1696579;161710
2014;"2014.T1";"Febrero";"Apuestas Hípicas Mutuas";0;0
2014;"2014.T1";"Febrero";"Bingo";5401780;695795
2014;"2014.T1";"Febrero";"Black Jack";26876683;757263
2014;"2014.T1";"Febrero";"Concursos";634518;493880
2014;"2014.T1";"Febrero";"Juegos Complementarios";17859;1316
2014;"2014.T1";"Febrero";"Máquinas de Azar";0;0
2014;"2014.T1";"Febrero";"Otras Ap. de Contrapartida";746;441
2014;"2014.T1";"Febrero";"Punto y Banca";218549;6877
2014;"2014.T1";"Febrero";"Póquer Cash";144276775;3714894
2014;"2014.T1";"Febrero";"Póquer Torneo";40456781;2020918
2014;"2014.T1";"Febrero";"Ruleta Convencional";83835234;2065243
2014;"2014.T1";"Febrero";"Ruleta en Vivo";1045682;14885
2014;"2014.T1";"Marzo";"Ap. Cruzadas";0;0
2014;"2014.T1";"Marzo";"Ap. Dep. de Contrap. Convencionales";227826050;14237163
2014;"2014.T1";"Marzo";"Ap. Dep. de Contrap. en Directo";0;0
2014;"2014.T1";"Marzo";"Ap. Deportivas Mutuas";46569;21713
2014;"2014.T1";"Marzo";"Ap. Hípicas de Contrapartida";2266131;99379
2014;"2014.T1";"Marzo";"Apuestas Hípicas Mutuas";0;0
2014;"2014.T1";"Marzo";"Bingo";5896297;626199
2014;"2014.T1";"Marzo";"Black Jack";32321107;918711
2014;"2014.T1";"Marzo";"Concursos";628238;428208
2014;"2014.T1";"Marzo";"Juegos Complementarios";7670;692
2014;"2014.T1";"Marzo";"Máquinas de Azar";0;0
2014;"2014.T1";"Marzo";"Otras Ap. de Contrapartida";782;289
2014;"2014.T1";"Marzo";"Punto y Banca";105592;3490
2014;"2014.T1";"Marzo";"Póquer Cash";145820919;3689854
2014;"2014.T1";"Marzo";"Póquer Torneo";44539680;1914191
2014;"2014.T1";"Marzo";"Ruleta Convencional";75836572;2028591
2014;"2014.T1";"Marzo";"Ruleta en Vivo";1412424;22918
2014;"2014.T2";"Abril";"Ap. Cruzadas";0;0
2014;"2014.T2";"Abril";"Ap. Dep. de Contrap. Convencionales";216217412;6366533
2014;"2014.T2";"Abril";"Ap. Dep. de Contrap. en Directo";0;0
2014;"2014.T2";"Abril";"Ap. Deportivas Mutuas";18519;6359
2014;"2014.T2";"Abril";"Ap. Hípicas de Contrapartida";2512661;146017
2014;"2014.T2";"Abril";"Apuestas Hípicas Mutuas";0;0
2014;"2014.T2";"Abril";"Bingo";5505494;633897
2014;"2014.T2";"Abril";"Black Jack";30619947;820795
2014;"2014.T2";"Abril";"Concursos";316299;222995
2014;"2014.T2";"Abril";"Juegos Complementarios";11721;1146
2014;"2014.T2";"Abril";"Máquinas de Azar";0;0
2014;"2014.T2";"Abril";"Otras Ap. de Contrapartida";0;0
2014;"2014.T2";"Abril";"Punto y Banca";196967;4093
2014;"2014.T2";"Abril";"Póquer Cash";125500505;3273908
2014;"2014.T2";"Abril";"Póquer Torneo";40440624;1790679
2014;"2014.T2";"Abril";"Ruleta Convencional";73617829;2106952
2014;"2014.T2";"Abril";"Ruleta en Vivo";1208177;23406
2014;"2014.T2";"Mayo";"Ap. Cruzadas";0;0
2014;"2014.T2";"Mayo";"Ap. Dep. de Contrap. Convencionales";222996687;11174704
2014;"2014.T2";"Mayo";"Ap. Dep. de Contrap. en Directo";0;0
2014;"2014.T2";"Mayo";"Ap. Deportivas Mutuas";18773;4309
2014;"2014.T2";"Mayo";"Ap. Hípicas de Contrapartida";2854476;237045
2014;"2014.T2";"Mayo";"Apuestas Hípicas Mutuas";0;0
2014;"2014.T2";"Mayo";"Bingo";5536888;652183
2014;"2014.T2";"Mayo";"Black Jack";34894771;845591
2014;"2014.T2";"Mayo";"Concursos";455920;368172
2014;"2014.T2";"Mayo";"Juegos Complementarios";12215;1059
2014;"2014.T2";"Mayo";"Máquinas de Azar";0;0
2014;"2014.T2";"Mayo";"Otras Ap. de Contrapartida";803;326
2014;"2014.T2";"Mayo";"Punto y Banca";168967;4072
2014;"2014.T2";"Mayo";"Póquer Cash";138264667;3557899
2014;"2014.T2";"Mayo";"Póquer Torneo";41354581;1816144
2014;"2014.T2";"Mayo";"Ruleta Convencional";97118223;2224452
2014;"2014.T2";"Mayo";"Ruleta en Vivo";1939486;20186
2014;"2014.T2";"Junio";"Ap. Cruzadas";0;0
2014;"2014.T2";"Junio";"Ap. Dep. de Contrap. Convencionales";223314871;13468439
2014;"2014.T2";"Junio";"Ap. Dep. de Contrap. en Directo";0;0
2014;"2014.T2";"Junio";"Ap. Deportivas Mutuas";27250;6999
2014;"2014.T2";"Junio";"Ap. Hípicas de Contrapartida";3682915;66112
2014;"2014.T2";"Junio";"Apuestas Hípicas Mutuas";0;0
2014;"2014.T2";"Junio";"Bingo";5246549;603456
2014;"2014.T2";"Junio";"Black Jack";28956348;890268
2014;"2014.T2";"Junio";"Concursos";243259;129789
2014;"2014.T2";"Junio";"Juegos Complementarios";9846;1038
2014;"2014.T2";"Junio";"Máquinas de Azar";0;0
2014;"2014.T2";"Junio";"Otras Ap. de Contrapartida";0;0
2014;"2014.T2";"Junio";"Punto y Banca";336910;2160
2014;"2014.T2";"Junio";"Póquer Cash";127804580;3328688
2014;"2014.T2";"Junio";"Póquer Torneo";39087299;1645806
2014;"2014.T2";"Junio";"Ruleta Convencional";92874540;2156352
2014;"2014.T2";"Junio";"Ruleta en Vivo";1743260;48924
2014;"2014.T3";"Julio";"Ap. Cruzadas";0;0
2014;"2014.T3";"Julio";"Ap. Dep. de Contrap. Convencionales";206144156;8476248
2014;"2014.T3";"Julio";"Ap. Dep. de Contrap. en Directo";0;0
2014;"2014.T3";"Julio";"Ap. Deportivas Mutuas";6152;-10369
2014;"2014.T3";"Julio";"Ap. Hípicas de Contrapartida";3773802;251408
2014;"2014.T3";"Julio";"Apuestas Hípicas Mutuas";0;0
2014;"2014.T3";"Julio";"Bingo";5592040;687217
2014;"2014.T3";"Julio";"Black Jack";30935416;810240
2014;"2014.T3";"Julio";"Concursos";248391;178465
2014;"2014.T3";"Julio";"Juegos Complementarios";11285;730
2014;"2014.T3";"Julio";"Máquinas de Azar";0;0
2014;"2014.T3";"Julio";"Otras Ap. de Contrapartida";1411;145
2014;"2014.T3";"Julio";"Punto y Banca";453822;7501
2014;"2014.T3";"Julio";"Póquer Cash";127612174;3197765
2014;"2014.T3";"Julio";"Póquer Torneo";50132415;2523576
2014;"2014.T3";"Julio";"Ruleta Convencional";72445463;2129997
2014;"2014.T3";"Julio";"Ruleta en Vivo";2619280;29354
2014;"2014.T3";"Agosto";"Ap. Cruzadas";0;0
2014;"2014.T3";"Agosto";"Ap. Dep. de Contrap. Convencionales";227151481;11208815
2014;"2014.T3";"Agosto";"Ap. Dep. de Contrap. en Directo";0;0
2014;"2014.T3";"Agosto";"Ap. Deportivas Mutuas";15653;6600
2014;"2014.T3";"Agosto";"Ap. Hípicas de Contrapartida";3290734;211550
2014;"2014.T3";"Agosto";"Apuestas Hípicas Mutuas";0;0
2014;"2014.T3";"Agosto";"Bingo";5561690;673647
2014;"2014.T3";"Agosto";"Black Jack";27881177;708964
2014;"2014.T3";"Agosto";"Concursos";233863;126717
2014;"2014.T3";"Agosto";"Juegos Complementarios";17739;1859
2014;"2014.T3";"Agosto";"Máquinas de Azar";0;0
2014;"2014.T3";"Agosto";"Otras Ap. de Contrapartida";14987;-804
2014;"2014.T3";"Agosto";"Punto y Banca";250828;4964
2014;"2014.T3";"Agosto";"Póquer Cash";123064571;3091620
2014;"2014.T3";"Agosto";"Póquer Torneo";53985655;2755160
2014;"2014.T3";"Agosto";"Ruleta Convencional";71219472;1753558
2014;"2014.T3";"Agosto";"Ruleta en Vivo";2072981;18382
2014;"2014.T3";"Septiembre";"Ap. Cruzadas";0;0
2014;"2014.T3";"Septiembre";"Ap. Dep. de Contrap. Convencionales";265479403;12918236
2014;"2014.T3";"Septiembre";"Ap. Dep. de Contrap. en Directo";0;0
2014;"2014.T3";"Septiembre";"Ap. Deportivas Mutuas";29047;11585
2014;"2014.T3";"Septiembre";"Ap. Hípicas de Contrapartida";3024780;153633
2014;"2014.T3";"Septiembre";"Apuestas Hípicas Mutuas";0;0
2014;"2014.T3";"Septiembre";"Bingo";5281359;677327
2014;"2014.T3";"Septiembre";"Black Jack";27019433;838779
2014;"2014.T3";"Septiembre";"Concursos";247535;164729
2014;"2014.T3";"Septiembre";"Juegos Complementarios";39690;1313
2014;"2014.T3";"Septiembre";"Máquinas de Azar";0;0
2014;"2014.T3";"Septiembre";"Otras Ap. de Contrapartida";7183;1616
2014;"2014.T3";"Septiembre";"Punto y Banca";292153;5514
2014;"2014.T3";"Septiembre";"Póquer Cash";120879370;3031366
2014;"2014.T3";"Septiembre";"Póquer Torneo";52722666;2633421
2014;"2014.T3";"Septiembre";"Ruleta Convencional";71634392;2129988
2014;"2014.T3";"Septiembre";"Ruleta en Vivo";1336614;50112
2014;"2014.T4";"Octubre";"Ap. Cruzadas";0;0
2014;"2014.T4";"Octubre";"Ap. Dep. de Contrap. Convencionales";273595488;10382203
2014;"2014.T4";"Octubre";"Ap. Dep. de Contrap. en Directo";0;0
2014;"2014.T4";"Octubre";"Ap. Deportivas Mutuas";27974;10545
2014;"2014.T4";"Octubre";"Ap. Hípicas de Contrapartida";3165701;115169
2014;"2014.T4";"Octubre";"Apuestas Hípicas Mutuas";0;0
2014;"2014.T4";"Octubre";"Bingo";5619270;678717
2014;"2014.T4";"Octubre";"Black Jack";46398834;1144289
2014;"2014.T4";"Octubre";"Concursos";377379;248864
2014;"2014.T4";"Octubre";"Juegos Complementarios";16322;1379
2014;"2014.T4";"Octubre";"Máquinas de Azar";0;0
2014;"2014.T4";"Octubre";"Otras Ap. de Contrapartida";15547;2604
2014;"2014.T4";"Octubre";"Punto y Banca";219076;6024
2014;"2014.T4";"Octubre";"Póquer Cash";123661994;3128755
