Edad;Sexo;Periodo;Total
De 45 a 49 años;Mujeres;2021T2;15,13
De 45 a 49 años;Mujeres;2021T1;15,69
De 45 a 49 años;Mujeres;2020T4;15,76
De 45 a 49 años;Mujeres;2020T3;15,95
De 45 a 49 años;Mujeres;2020T2;13,36
De 45 a 49 años;Mujeres;2020T1;13,99
De 45 a 49 años;Mujeres;2019T4;13,75
De 45 a 49 años;Mujeres;2019T3;13,22
De 45 a 49 años;Mujeres;2019T2;13,49
De 45 a 49 años;Mujeres;2019T1;15,24
De 45 a 49 años;Mujeres;2018T4;14,30
De 45 a 49 años;Mujeres;2018T3;14,48
De 45 a 49 años;Mujeres;2018T2;15,90
De 45 a 49 años;Mujeres;2018T1;16,64
De 45 a 49 años;Mujeres;2017T4;16,39
De 45 a 49 años;Mujeres;2017T3;16,36
De 45 a 49 años;Mujeres;2017T2;17,80
De 45 a 49 años;Mujeres;2017T1;19,96
De 45 a 49 años;Mujeres;2016T4;18,72
De 45 a 49 años;Mujeres;2016T3;19,25
De 45 a 49 años;Mujeres;2016T2;19,51
De 45 a 49 años;Mujeres;2016T1;20,81
De 45 a 49 años;Mujeres;2015T4;21,39
De 45 a 49 años;Mujeres;2015T3;21,29
De 45 a 49 años;Mujeres;2015T2;23,76
De 45 a 49 años;Mujeres;2015T1;24,74
De 45 a 49 años;Mujeres;2014T4;22,23
De 45 a 49 años;Mujeres;2014T3;22,70
De 45 a 49 años;Mujeres;2014T2;23,48
De 45 a 49 años;Mujeres;2014T1;24,04
De 45 a 49 años;Mujeres;2013T4;23,00
De 45 a 49 años;Mujeres;2013T3;23,33
De 45 a 49 años;Mujeres;2013T2;24,61
De 45 a 49 años;Mujeres;2013T1;24,34
De 45 a 49 años;Mujeres;2012T4;23,05
De 45 a 49 años;Mujeres;2012T3;22,61
De 45 a 49 años;Mujeres;2012T2;21,83
De 45 a 49 años;Mujeres;2012T1;21,11
De 45 a 49 años;Mujeres;2011T4;20,64
De 45 a 49 años;Mujeres;2011T3;18,73
De 45 a 49 años;Mujeres;2011T2;17,47
De 45 a 49 años;Mujeres;2011T1;19,63
De 45 a 49 años;Mujeres;2010T4;17,70
De 45 a 49 años;Mujeres;2010T3;16,28
De 45 a 49 años;Mujeres;2010T2;17,75
De 45 a 49 años;Mujeres;2010T1;17,39
De 45 a 49 años;Mujeres;2009T4;15,22
De 45 a 49 años;Mujeres;2009T3;14,53
De 45 a 49 años;Mujeres;2009T2;14,71
De 45 a 49 años;Mujeres;2009T1;14,57
De 45 a 49 años;Mujeres;2008T4;11,64
De 45 a 49 años;Mujeres;2008T3;8,70
De 45 a 49 años;Mujeres;2008T2;8,83
De 45 a 49 años;Mujeres;2008T1;8,76
De 45 a 49 años;Mujeres;2007T4;8,83
De 45 a 49 años;Mujeres;2007T3;8,49
De 45 a 49 años;Mujeres;2007T2;8,18
De 45 a 49 años;Mujeres;2007T1;8,57
De 45 a 49 años;Mujeres;2006T4;8,46
De 45 a 49 años;Mujeres;2006T3;8,26
De 45 a 49 años;Mujeres;2006T2;7,63
De 45 a 49 años;Mujeres;2006T1;8,87
De 45 a 49 años;Mujeres;2005T4;9,32
De 45 a 49 años;Mujeres;2005T3;8,46
De 45 a 49 años;Mujeres;2005T2;9,65
De 45 a 49 años;Mujeres;2005T1;10,08
De 45 a 49 años;Mujeres;2004T4;10,97
De 45 a 49 años;Mujeres;2004T3;10,74
De 45 a 49 años;Mujeres;2004T2;11,48
De 45 a 49 años;Mujeres;2004T1;11,66
De 45 a 49 años;Mujeres;2003T4;12,25
De 45 a 49 años;Mujeres;2003T3;11,47
De 45 a 49 años;Mujeres;2003T2;12,26
De 45 a 49 años;Mujeres;2003T1;14,30
De 45 a 49 años;Mujeres;2002T4;12,96
De 45 a 49 años;Mujeres;2002T3;13,40
De 45 a 49 años;Mujeres;2002T2;12,72
De 45 a 49 años;Mujeres;2002T1;11,20
De 50 a 54 años;Ambos sexos;2025T4;7,36
De 50 a 54 años;Ambos sexos;2025T3;8,03
De 50 a 54 años;Ambos sexos;2025T2;8,24
De 50 a 54 años;Ambos sexos;2025T1;8,80
De 50 a 54 años;Ambos sexos;2024T4;8,69
De 50 a 54 años;Ambos sexos;2024T3;9,08
De 50 a 54 años;Ambos sexos;2024T2;9,41
De 50 a 54 años;Ambos sexos;2024T1;9,82
De 50 a 54 años;Ambos sexos;2023T4;9,36
De 50 a 54 años;Ambos sexos;2023T3;9,72
De 50 a 54 años;Ambos sexos;2023T2;9,60
De 50 a 54 años;Ambos sexos;2023T1;11,43
De 50 a 54 años;Ambos sexos;2022T4;11,94
De 50 a 54 años;Ambos sexos;2022T3;11,79
De 50 a 54 años;Ambos sexos;2022T2;11,85
De 50 a 54 años;Ambos sexos;2022T1;12,91
De 50 a 54 años;Ambos sexos;2021T4;11,72
De 50 a 54 años;Ambos sexos;2021T3;12,07
De 50 a 54 años;Ambos sexos;2021T2;12,46
De 50 a 54 años;Ambos sexos;2021T1;12,96
De 50 a 54 años;Ambos sexos;2020T4;12,92
De 50 a 54 años;Ambos sexos;2020T3;12,25
De 50 a 54 años;Ambos sexos;2020T2;11,65
De 50 a 54 años;Ambos sexos;2020T1;12,28
De 50 a 54 años;Ambos sexos;2019T4;11,70
De 50 a 54 años;Ambos sexos;2019T3;12,14
De 50 a 54 años;Ambos sexos;2019T2;12,86
De 50 a 54 años;Ambos sexos;2019T1;13,25
De 50 a 54 años;Ambos sexos;2018T4;12,83
De 50 a 54 años;Ambos sexos;2018T3;12,75
De 50 a 54 años;Ambos sexos;2018T2;13,50
De 50 a 54 años;Ambos sexos;2018T1;15,23
De 50 a 54 años;Ambos sexos;2017T4;14,48
De 50 a 54 años;Ambos sexos;2017T3;14,23
De 50 a 54 años;Ambos sexos;2017T2;15,37
De 50 a 54 años;Ambos sexos;2017T1;16,76
De 50 a 54 años;Ambos sexos;2016T4;16,44
De 50 a 54 años;Ambos sexos;2016T3;16,82
De 50 a 54 años;Ambos sexos;2016T2;18,07
De 50 a 54 años;Ambos sexos;2016T1;18,17
De 50 a 54 años;Ambos sexos;2015T4;17,77
De 50 a 54 años;Ambos sexos;2015T3;18,50
De 50 a 54 años;Ambos sexos;2015T2;19,24
De 50 a 54 años;Ambos sexos;2015T1;20,17
De 50 a 54 años;Ambos sexos;2014T4;20,01
De 50 a 54 años;Ambos sexos;2014T3;20,07
De 50 a 54 años;Ambos sexos;2014T2;20,80
De 50 a 54 años;Ambos sexos;2014T1;21,54
De 50 a 54 años;Ambos sexos;2013T4;21,95
De 50 a 54 años;Ambos sexos;2013T3;21,39
De 50 a 54 años;Ambos sexos;2013T2;20,77
De 50 a 54 años;Ambos sexos;2013T1;21,07
De 50 a 54 años;Ambos sexos;2012T4;20,07
De 50 a 54 años;Ambos sexos;2012T3;20,19
De 50 a 54 años;Ambos sexos;2012T2;19,41
De 50 a 54 años;Ambos sexos;2012T1;19,17
De 50 a 54 años;Ambos sexos;2011T4;17,17
De 50 a 54 años;Ambos sexos;2011T3;16,45
De 50 a 54 años;Ambos sexos;2011T2;15,51
De 50 a 54 años;Ambos sexos;2011T1;15,69
De 50 a 54 años;Ambos sexos;2010T4;15,47
De 50 a 54 años;Ambos sexos;2010T3;13,90
De 50 a 54 años;Ambos sexos;2010T2;15,04
De 50 a 54 años;Ambos sexos;2010T1;14,46
De 50 a 54 años;Ambos sexos;2009T4;13,46
De 50 a 54 años;Ambos sexos;2009T3;12,45
De 50 a 54 años;Ambos sexos;2009T2;12,78
De 50 a 54 años;Ambos sexos;2009T1;12,14
De 50 a 54 años;Ambos sexos;2008T4;9,63
De 50 a 54 años;Ambos sexos;2008T3;8,00
De 50 a 54 años;Ambos sexos;2008T2;7,74
De 50 a 54 años;Ambos sexos;2008T1;7,55
De 50 a 54 años;Ambos sexos;2007T4;6,70
De 50 a 54 años;Ambos sexos;2007T3;5,93
De 50 a 54 años;Ambos sexos;2007T2;6,38
De 50 a 54 años;Ambos sexos;2007T1;6,58
De 50 a 54 años;Ambos sexos;2006T4;6,15
De 50 a 54 años;Ambos sexos;2006T3;5,86
De 50 a 54 años;Ambos sexos;2006T2;6,12
De 50 a 54 años;Ambos sexos;2006T1;6,55
De 50 a 54 años;Ambos sexos;2005T4;5,68
De 50 a 54 años;Ambos sexos;2005T3;5,68
De 50 a 54 años;Ambos sexos;2005T2;6,24
De 50 a 54 años;Ambos sexos;2005T1;6,62
De 50 a 54 años;Ambos sexos;2004T4;7,34
De 50 a 54 años;Ambos sexos;2004T3;7,12
De 50 a 54 años;Ambos sexos;2004T2;7,38
De 50 a 54 años;Ambos sexos;2004T1;7,45
De 50 a 54 años;Ambos sexos;2003T4;7,38
De 50 a 54 años;Ambos sexos;2003T3;6,99
De 50 a 54 años;Ambos sexos;2003T2;7,14
De 50 a 54 años;Ambos sexos;2003T1;8,10
De 50 a 54 años;Ambos sexos;2002T4;7,43
De 50 a 54 años;Ambos sexos;2002T3;7,67
De 50 a 54 años;Ambos sexos;2002T2;7,93
De 50 a 54 años;Ambos sexos;2002T1;7,69
De 50 a 54 años;Hombres;2025T4;5,03
De 50 a 54 años;Hombres;2025T3;5,39
De 50 a 54 años;Hombres;2025T2;6,62
De 50 a 54 años;Hombres;2025T1;7,10
De 50 a 54 años;Hombres;2024T4;7,26
De 50 a 54 años;Hombres;2024T3;7,54
De 50 a 54 años;Hombres;2024T2;7,79
De 50 a 54 años;Hombres;2024T1;8,16
De 50 a 54 años;Hombres;2023T4;8,00
De 50 a 54 años;Hombres;2023T3;7,74
De 50 a 54 años;Hombres;2023T2;7,89
De 50 a 54 años;Hombres;2023T1;8,74
De 50 a 54 años;Hombres;2022T4;9,64
De 50 a 54 años;Hombres;2022T3;9,72
De 50 a 54 años;Hombres;2022T2;9,69
De 50 a 54 años;Hombres;2022T1;11,12
De 50 a 54 años;Hombres;2021T4;9,81
De 50 a 54 años;Hombres;2021T3;9,33
De 50 a 54 años;Hombres;2021T2;10,07
De 50 a 54 años;Hombres;2021T1;11,05
De 50 a 54 años;Hombres;2020T4;10,70
De 50 a 54 años;Hombres;2020T3;10,58
De 50 a 54 años;Hombres;2020T2;10,44
De 50 a 54 años;Hombres;2020T1;10,80
De 50 a 54 años;Hombres;2019T4;9,71
De 50 a 54 años;Hombres;2019T3;9,84
De 50 a 54 años;Hombres;2019T2;11,11
De 50 a 54 años;Hombres;2019T1;11,08
De 50 a 54 años;Hombres;2018T4;11,01
De 50 a 54 años;Hombres;2018T3;11,17
De 50 a 54 años;Hombres;2018T2;11,60
De 50 a 54 años;Hombres;2018T1;13,66
De 50 a 54 años;Hombres;2017T4;12,64
De 50 a 54 años;Hombres;2017T3;12,43
De 50 a 54 años;Hombres;2017T2;13,42
De 50 a 54 años;Hombres;2017T1;15,10
De 50 a 54 años;Hombres;2016T4;14,52
De 50 a 54 años;Hombres;2016T3;14,76
De 50 a 54 años;Hombres;2016T2;16,53
De 50 a 54 años;Hombres;2016T1;16,88
De 50 a 54 años;Hombres;2015T4;16,47
De 50 a 54 años;Hombres;2015T3;17,85
De 50 a 54 años;Hombres;2015T2;18,30
De 50 a 54 años;Hombres;2015T1;19,53
De 50 a 54 años;Hombres;2014T4;19,43
De 50 a 54 años;Hombres;2014T3;18,68
De 50 a 54 años;Hombres;2014T2;19,98
De 50 a 54 años;Hombres;2014T1;21,35
De 50 a 54 años;Hombres;2013T4;21,23
De 50 a 54 años;Hombres;2013T3;20,49
De 50 a 54 años;Hombres;2013T2;20,23
De 50 a 54 años;Hombres;2013T1;21,29
De 50 a 54 años;Hombres;2012T4;19,61
De 50 a 54 años;Hombres;2012T3;20,09
De 50 a 54 años;Hombres;2012T2;19,59
De 50 a 54 años;Hombres;2012T1;18,84
De 50 a 54 años;Hombres;2011T4;17,23
De 50 a 54 años;Hombres;2011T3;15,83
De 50 a 54 años;Hombres;2011T2;15,46
De 50 a 54 años;Hombres;2011T1;15,51
De 50 a 54 años;Hombres;2010T4;15,27
De 50 a 54 años;Hombres;2010T3;13,65
De 50 a 54 años;Hombres;2010T2;14,50
De 50 a 54 años;Hombres;2010T1;14,53
De 50 a 54 años;Hombres;2009T4;13,24
De 50 a 54 años;Hombres;2009T3;11,94
De 50 a 54 años;Hombres;2009T2;11,28
De 50 a 54 años;Hombres;2009T1;10,37
De 50 a 54 años;Hombres;2008T4;8,33
De 50 a 54 años;Hombres;2008T3;6,77
De 50 a 54 años;Hombres;2008T2;6,21
De 50 a 54 años;Hombres;2008T1;5,96
De 50 a 54 años;Hombres;2007T4;5,47
De 50 a 54 años;Hombres;2007T3;4,28
De 50 a 54 años;Hombres;2007T2;4,53
De 50 a 54 años;Hombres;2007T1;4,82
De 50 a 54 años;Hombres;2006T4;4,05
De 50 a 54 años;Hombres;2006T3;3,55
De 50 a 54 años;Hombres;2006T2;4,03
De 50 a 54 años;Hombres;2006T1;4,51
De 50 a 54 años;Hombres;2005T4;4,40
De 50 a 54 años;Hombres;2005T3;4,21
De 50 a 54 años;Hombres;2005T2;5,43
De 50 a 54 años;Hombres;2005T1;5,03
De 50 a 54 años;Hombres;2004T4;5,71
De 50 a 54 años;Hombres;2004T3;5,34
De 50 a 54 años;Hombres;2004T2;5,36
De 50 a 54 años;Hombres;2004T1;5,56
De 50 a 54 años;Hombres;2003T4;5,94
De 50 a 54 años;Hombres;2003T3;5,17
De 50 a 54 años;Hombres;2003T2;5,33
De 50 a 54 años;Hombres;2003T1;5,73
De 50 a 54 años;Hombres;2002T4;5,64
De 50 a 54 años;Hombres;2002T3;5,27
De 50 a 54 años;Hombres;2002T2;5,68
De 50 a 54 años;Hombres;2002T1;5,29
De 50 a 54 años;Mujeres;2025T4;9,92
De 50 a 54 años;Mujeres;2025T3;10,92
De 50 a 54 años;Mujeres;2025T2;10,02
De 50 a 54 años;Mujeres;2025T1;10,65
De 50 a 54 años;Mujeres;2024T4;10,24
De 50 a 54 años;Mujeres;2024T3;10,79
De 50 a 54 años;Mujeres;2024T2;11,20
De 50 a 54 años;Mujeres;2024T1;11,69
De 50 a 54 años;Mujeres;2023T4;10,89
De 50 a 54 años;Mujeres;2023T3;11,93
De 50 a 54 años;Mujeres;2023T2;11,53
De 50 a 54 años;Mujeres;2023T1;14,44
De 50 a 54 años;Mujeres;2022T4;14,55
De 50 a 54 años;Mujeres;2022T3;14,19
De 50 a 54 años;Mujeres;2022T2;14,30
De 50 a 54 años;Mujeres;2022T1;14,97
De 50 a 54 años;Mujeres;2021T4;13,92
De 50 a 54 años;Mujeres;2021T3;15,22
De 50 a 54 años;Mujeres;2021T2;15,27
De 50 a 54 años;Mujeres;2021T1;15,19
De 50 a 54 años;Mujeres;2020T4;15,51
De 50 a 54 años;Mujeres;2020T3;14,24
De 50 a 54 años;Mujeres;2020T2;13,08
De 50 a 54 años;Mujeres;2020T1;13,99
De 50 a 54 años;Mujeres;2019T4;13,96
De 50 a 54 años;Mujeres;2019T3;14,81
De 50 a 54 años;Mujeres;2019T2;14,87
De 50 a 54 años;Mujeres;2019T1;15,78
De 50 a 54 años;Mujeres;2018T4;14,98
De 50 a 54 años;Mujeres;2018T3;14,63
De 50 a 54 años;Mujeres;2018T2;15,73
De 50 a 54 años;Mujeres;2018T1;17,09
De 50 a 54 años;Mujeres;2017T4;16,66
De 50 a 54 años;Mujeres;2017T3;16,39
De 50 a 54 años;Mujeres;2017T2;17,72
De 50 a 54 años;Mujeres;2017T1;18,73
De 50 a 54 años;Mujeres;2016T4;18,73
De 50 a 54 años;Mujeres;2016T3;19,33
De 50 a 54 años;Mujeres;2016T2;19,91
De 50 a 54 años;Mujeres;2016T1;19,70
De 50 a 54 años;Mujeres;2015T4;19,32
De 50 a 54 años;Mujeres;2015T3;19,30
De 50 a 54 años;Mujeres;2015T2;20,35
De 50 a 54 años;Mujeres;2015T1;20,94
De 50 a 54 años;Mujeres;2014T4;20,70
De 50 a 54 años;Mujeres;2014T3;21,76
De 50 a 54 años;Mujeres;2014T2;21,79
De 50 a 54 años;Mujeres;2014T1;21,77
De 50 a 54 años;Mujeres;2013T4;22,83
De 50 a 54 años;Mujeres;2013T3;22,50
De 50 a 54 años;Mujeres;2013T2;21,43
De 50 a 54 años;Mujeres;2013T1;20,79
De 50 a 54 años;Mujeres;2012T4;20,63
De 50 a 54 años;Mujeres;2012T3;20,32
De 50 a 54 años;Mujeres;2012T2;19,19
De 50 a 54 años;Mujeres;2012T1;19,59
De 50 a 54 años;Mujeres;2011T4;17,10
De 50 a 54 años;Mujeres;2011T3;17,25
De 50 a 54 años;Mujeres;2011T2;15,57
De 50 a 54 años;Mujeres;2011T1;15,93
De 50 a 54 años;Mujeres;2010T4;15,72
De 50 a 54 años;Mujeres;2010T3;14,23
De 50 a 54 años;Mujeres;2010T2;15,74
De 50 a 54 años;Mujeres;2010T1;14,36
De 50 a 54 años;Mujeres;2009T4;13,76
De 50 a 54 años;Mujeres;2009T3;13,16
De 50 a 54 años;Mujeres;2009T2;14,87
De 50 a 54 años;Mujeres;2009T1;14,61
De 50 a 54 años;Mujeres;2008T4;11,45
De 50 a 54 años;Mujeres;2008T3;9,79
De 50 a 54 años;Mujeres;2008T2;9,96
De 50 a 54 años;Mujeres;2008T1;9,85
De 50 a 54 años;Mujeres;2007T4;8,52
De 50 a 54 años;Mujeres;2007T3;8,34
De 50 a 54 años;Mujeres;2007T2;9,19
De 50 a 54 años;Mujeres;2007T1;9,28
De 50 a 54 años;Mujeres;2006T4;9,40
De 50 a 54 años;Mujeres;2006T3;9,49
De 50 a 54 años;Mujeres;2006T2;9,38
De 50 a 54 años;Mujeres;2006T1;9,84
De 50 a 54 años;Mujeres;2005T4;7,77
De 50 a 54 años;Mujeres;2005T3;8,13
De 50 a 54 años;Mujeres;2005T2;7,60
De 50 a 54 años;Mujeres;2005T1;9,25
De 50 a 54 años;Mujeres;2004T4;10,08
De 50 a 54 años;Mujeres;2004T3;10,24
De 50 a 54 años;Mujeres;2004T2;10,91
De 50 a 54 años;Mujeres;2004T1;10,78
De 50 a 54 años;Mujeres;2003T4;9,96
De 50 a 54 años;Mujeres;2003T3;10,40
De 50 a 54 años;Mujeres;2003T2;10,56
De 50 a 54 años;Mujeres;2003T1;12,54
De 50 a 54 años;Mujeres;2002T4;10,84
De 50 a 54 años;Mujeres;2002T3;12,29
De 50 a 54 años;Mujeres;2002T2;12,34
De 50 a 54 años;Mujeres;2002T1;12,40
De 55 a 59 años;Ambos sexos;2025T4;9,08
De 55 a 59 años;Ambos sexos;2025T3;9,58
De 55 a 59 años;Ambos sexos;2025T2;9,82
De 55 a 59 años;Ambos sexos;2025T1;10,17
De 55 a 59 años;Ambos sexos;2024T4;9,52
De 55 a 59 años;Ambos sexos;2024T3;10,18
De 55 a 59 años;Ambos sexos;2024T2;9,91
De 55 a 59 años;Ambos sexos;2024T1;10,73
De 55 a 59 años;Ambos sexos;2023T4;11,22
De 55 a 59 años;Ambos sexos;2023T3;10,85
De 55 a 59 años;Ambos sexos;2023T2;11,29
De 55 a 59 años;Ambos sexos;2023T1;11,92
De 55 a 59 años;Ambos sexos;2022T4;10,92
De 55 a 59 años;Ambos sexos;2022T3;10,59
De 55 a 59 años;Ambos sexos;2022T2;11,71
De 55 a 59 años;Ambos sexos;2022T1;12,39
De 55 a 59 años;Ambos sexos;2021T4;12,55
De 55 a 59 años;Ambos sexos;2021T3;14,17
De 55 a 59 años;Ambos sexos;2021T2;13,37
De 55 a 59 años;Ambos sexos;2021T1;13,78
De 55 a 59 años;Ambos sexos;2020T4;13,06
De 55 a 59 años;Ambos sexos;2020T3;12,44
De 55 a 59 años;Ambos sexos;2020T2;11,84
De 55 a 59 años;Ambos sexos;2020T1;12,62
De 55 a 59 años;Ambos sexos;2019T4;12,74
De 55 a 59 años;Ambos sexos;2019T3;12,27
De 55 a 59 años;Ambos sexos;2019T2;12,46
De 55 a 59 años;Ambos sexos;2019T1;13,12
De 55 a 59 años;Ambos sexos;2018T4;13,03
De 55 a 59 años;Ambos sexos;2018T3;12,68
De 55 a 59 años;Ambos sexos;2018T2;14,17
De 55 a 59 años;Ambos sexos;2018T1;15,37
De 55 a 59 años;Ambos sexos;2017T4;15,30
De 55 a 59 años;Ambos sexos;2017T3;15,12
De 55 a 59 años;Ambos sexos;2017T2;15,78
De 55 a 59 años;Ambos sexos;2017T1;16,55
De 55 a 59 años;Ambos sexos;2016T4;16,90
De 55 a 59 años;Ambos sexos;2016T3;16,80
De 55 a 59 años;Ambos sexos;2016T2;17,81
De 55 a 59 años;Ambos sexos;2016T1;18,59
De 55 a 59 años;Ambos sexos;2015T4;19,14
De 55 a 59 años;Ambos sexos;2015T3;19,53
De 55 a 59 años;Ambos sexos;2015T2;19,56
De 55 a 59 años;Ambos sexos;2015T1;20,09
De 55 a 59 años;Ambos sexos;2014T4;21,38
De 55 a 59 años;Ambos sexos;2014T3;21,17
De 55 a 59 años;Ambos sexos;2014T2;21,85
De 55 a 59 años;Ambos sexos;2014T1;21,47
De 55 a 59 años;Ambos sexos;2013T4;20,87
De 55 a 59 años;Ambos sexos;2013T3;19,88
De 55 a 59 años;Ambos sexos;2013T2;20,87
De 55 a 59 años;Ambos sexos;2013T1;20,98
De 55 a 59 años;Ambos sexos;2012T4;19,82
De 55 a 59 años;Ambos sexos;2012T3;18,90
De 55 a 59 años;Ambos sexos;2012T2;18,52
De 55 a 59 años;Ambos sexos;2012T1;18,53
De 55 a 59 años;Ambos sexos;2011T4;17,65
De 55 a 59 años;Ambos sexos;2011T3;15,80
De 55 a 59 años;Ambos sexos;2011T2;15,05
De 55 a 59 años;Ambos sexos;2011T1;15,52
De 55 a 59 años;Ambos sexos;2010T4;15,30
De 55 a 59 años;Ambos sexos;2010T3;15,27
De 55 a 59 años;Ambos sexos;2010T2;14,68
De 55 a 59 años;Ambos sexos;2010T1;15,00
De 55 a 59 años;Ambos sexos;2009T4;13,47
De 55 a 59 años;Ambos sexos;2009T3;12,65
De 55 a 59 años;Ambos sexos;2009T2;12,98
De 55 a 59 años;Ambos sexos;2009T1;11,67
De 55 a 59 años;Ambos sexos;2008T4;9,27
De 55 a 59 años;Ambos sexos;2008T3;7,33
De 55 a 59 años;Ambos sexos;2008T2;7,18
De 55 a 59 años;Ambos sexos;2008T1;6,76
De 55 a 59 años;Ambos sexos;2007T4;6,47
De 55 a 59 años;Ambos sexos;2007T3;6,07
De 55 a 59 años;Ambos sexos;2007T2;6,02
De 55 a 59 años;Ambos sexos;2007T1;6,17
De 55 a 59 años;Ambos sexos;2006T4;5,78
De 55 a 59 años;Ambos sexos;2006T3;6,07
De 55 a 59 años;Ambos sexos;2006T2;6,05
De 55 a 59 años;Ambos sexos;2006T1;6,91
De 55 a 59 años;Ambos sexos;2005T4;6,22
De 55 a 59 años;Ambos sexos;2005T3;5,53
De 55 a 59 años;Ambos sexos;2005T2;7,22
De 55 a 59 años;Ambos sexos;2005T1;7,21
De 55 a 59 años;Ambos sexos;2004T4;7,18
De 55 a 59 años;Ambos sexos;2004T3;7,21
De 55 a 59 años;Ambos sexos;2004T2;7,38
De 55 a 59 años;Ambos sexos;2004T1;7,01
De 55 a 59 años;Ambos sexos;2003T4;6,80
De 55 a 59 años;Ambos sexos;2003T3;7,92
De 55 a 59 años;Ambos sexos;2003T2;7,37
De 55 a 59 años;Ambos sexos;2003T1;7,49
De 55 a 59 años;Ambos sexos;2002T4;7,82
De 55 a 59 años;Ambos sexos;2002T3;7,93
De 55 a 59 años;Ambos sexos;2002T2;7,34
De 55 a 59 años;Ambos sexos;2002T1;7,58
De 55 a 59 años;Hombres;2025T4;7,70
De 55 a 59 años;Hombres;2025T3;7,79
De 55 a 59 años;Hombres;2025T2;7,73
De 55 a 59 años;Hombres;2025T1;8,99
De 55 a 59 años;Hombres;2024T4;8,21
De 55 a 59 años;Hombres;2024T3;8,48
De 55 a 59 años;Hombres;2024T2;8,53
De 55 a 59 años;Hombres;2024T1;9,13
De 55 a 59 años;Hombres;2023T4;9,73
De 55 a 59 años;Hombres;2023T3;8,48
De 55 a 59 años;Hombres;2023T2;9,12
De 55 a 59 años;Hombres;2023T1;10,20
De 55 a 59 años;Hombres;2022T4;9,45
De 55 a 59 años;Hombres;2022T3;8,96
De 55 a 59 años;Hombres;2022T2;10,28
De 55 a 59 años;Hombres;2022T1;11,13
De 55 a 59 años;Hombres;2021T4;10,06
De 55 a 59 años;Hombres;2021T3;11,46
De 55 a 59 años;Hombres;2021T2;11,56
De 55 a 59 años;Hombres;2021T1;12,06
De 55 a 59 años;Hombres;2020T4;11,19
De 55 a 59 años;Hombres;2020T3;10,92
De 55 a 59 años;Hombres;2020T2;10,95
De 55 a 59 años;Hombres;2020T1;10,98
De 55 a 59 años;Hombres;2019T4;11,39
De 55 a 59 años;Hombres;2019T3;11,17
De 55 a 59 años;Hombres;2019T2;11,99
De 55 a 59 años;Hombres;2019T1;12,18
De 55 a 59 años;Hombres;2018T4;11,87
De 55 a 59 años;Hombres;2018T3;11,53
De 55 a 59 años;Hombres;2018T2;13,24
De 55 a 59 años;Hombres;2018T1;14,29
De 55 a 59 años;Hombres;2017T4;15,00
De 55 a 59 años;Hombres;2017T3;13,93
De 55 a 59 años;Hombres;2017T2;14,61
De 55 a 59 años;Hombres;2017T1;16,38
De 55 a 59 años;Hombres;2016T4;16,59
De 55 a 59 años;Hombres;2016T3;16,43
De 55 a 59 años;Hombres;2016T2;17,65
De 55 a 59 años;Hombres;2016T1;18,70
De 55 a 59 años;Hombres;2015T4;19,30
De 55 a 59 años;Hombres;2015T3;18,97
De 55 a 59 años;Hombres;2015T2;19,54
De 55 a 59 años;Hombres;2015T1;20,91
De 55 a 59 años;Hombres;2014T4;22,56
De 55 a 59 años;Hombres;2014T3;21,55
De 55 a 59 años;Hombres;2014T2;21,94
De 55 a 59 años;Hombres;2014T1;21,90
De 55 a 59 años;Hombres;2013T4;21,20
De 55 a 59 años;Hombres;2013T3;20,63
De 55 a 59 años;Hombres;2013T2;21,36
De 55 a 59 años;Hombres;2013T1;21,07
De 55 a 59 años;Hombres;2012T4;19,76
De 55 a 59 años;Hombres;2012T3;18,95
De 55 a 59 años;Hombres;2012T2;18,31
De 55 a 59 años;Hombres;2012T1;18,66
De 55 a 59 años;Hombres;2011T4;17,84
De 55 a 59 años;Hombres;2011T3;15,88
De 55 a 59 años;Hombres;2011T2;14,98
De 55 a 59 años;Hombres;2011T1;14,83
De 55 a 59 años;Hombres;2010T4;15,41
De 55 a 59 años;Hombres;2010T3;15,31
De 55 a 59 años;Hombres;2010T2;14,82
De 55 a 59 años;Hombres;2010T1;14,59
De 55 a 59 años;Hombres;2009T4;12,65
De 55 a 59 años;Hombres;2009T3;11,94
De 55 a 59 años;Hombres;2009T2;11,64
De 55 a 59 años;Hombres;2009T1;10,30
De 55 a 59 años;Hombres;2008T4;7,92
De 55 a 59 años;Hombres;2008T3;6,27
De 55 a 59 años;Hombres;2008T2;6,68
De 55 a 59 años;Hombres;2008T1;5,71
De 55 a 59 años;Hombres;2007T4;5,48
De 55 a 59 años;Hombres;2007T3;5,13
De 55 a 59 años;Hombres;2007T2;4,88
De 55 a 59 años;Hombres;2007T1;4,73
De 55 a 59 años;Hombres;2006T4;4,53
De 55 a 59 años;Hombres;2006T3;4,94
De 55 a 59 años;Hombres;2006T2;4,96
De 55 a 59 años;Hombres;2006T1;6,04
De 55 a 59 años;Hombres;2005T4;5,50
De 55 a 59 años;Hombres;2005T3;5,05
De 55 a 59 años;Hombres;2005T2;6,46
De 55 a 59 años;Hombres;2005T1;5,92
De 55 a 59 años;Hombres;2004T4;6,32
De 55 a 59 años;Hombres;2004T3;5,74
De 55 a 59 años;Hombres;2004T2;6,04
De 55 a 59 años;Hombres;2004T1;5,73
De 55 a 59 años;Hombres;2003T4;5,39
